[2016-01-04 11:36:11,637][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:36:41,638][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:37:11,657][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:37:11,661][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:37:41,654][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:38:11,640][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:38:41,667][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:38:41,670][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:39:11,672][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:39:41,678][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:39:41,681][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:40:11,686][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:40:41,673][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:41:11,676][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:41:11,676][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:41:41,681][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:42:11,689][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:42:11,689][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:42:41,693][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:43:11,695][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:43:11,695][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:43:41,707][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:44:11,705][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:44:11,725][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
